Type                                  Module                      Label             Process   
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15Trig25nsV1Values"   "SSB"     
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15Trig50nsV1Values"   "SSB"     
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring16GeneralPurposeV1Values"   "SSB"     
edm::ValueMap<float>                  "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring16HZZV1Values"   "SSB"     
edm::ValueMap<float>                  "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring15NonTrig25nsV2p1Values"   "SSB"     
edm::ValueMap<float>                  "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring15NonTrig50nsV2p1Values"   "SSB"     
edm::ValueMap<float>                  "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring16NonTrigV1Values"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::ValueMap<float>                  "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::ValueMap<float>                  "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::ValueMap<float>                  "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5Circularity"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5E1x5"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5E2x5"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5E5x5"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5R9"    "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5SigmaIEtaIEta"   "SSB"     
edm::ValueMap<float>                  "electronIDValueMapProducer"   "eleFull5x5SigmaIEtaIPhi"   "SSB"     
edm::ValueMap<float>                  "heepIDVarValueMaps"        "eleTrkPtIso"     "SSB"     
edm::ValueMap<float>                  "egmPhotonIsolation"        "gamma-DR030-"    "SSB"     
edm::ValueMap<float>                  "egmPhotonIsolation"        "h+-DR030-"       "SSB"     
edm::ValueMap<float>                  "egmPhotonIsolation"        "h0-DR030-"       "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::ValueMap<float>                  "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::ValueMap<float>                  "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::ValueMap<float>                  "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoChargedIsolation"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoESEffSigmaRR"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5E1x3"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5E2x2"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5E2x5Max"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5E5x5"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5SigmaIEtaIEta"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoFull5x5SigmaIEtaIPhi"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoNeutralHadronIsolation"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoPhotonIsolation"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoWorstChargedIsolation"   "SSB"     
edm::ValueMap<float>                  "photonIDValueMapProducer"   "phoWorstChargedIsolationWithConeVeto"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Phys14NonTrig25nsV1Categories"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15NonTrig25nsV1Categories"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15Trig25nsV1Categories"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring15Trig50nsV1Categories"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring16GeneralPurposeV1Categories"   "SSB"     
edm::ValueMap<int>                    "electronMVAValueMapProducer"   "ElectronMVAEstimatorRun2Spring16HZZV1Categories"   "SSB"     
edm::ValueMap<int>                    "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring15NonTrig25nsV2p1Categories"   "SSB"     
edm::ValueMap<int>                    "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring15NonTrig50nsV2p1Categories"   "SSB"     
edm::ValueMap<int>                    "photonMVAValueMapProducer"   "PhotonMVAEstimatorRun2Spring16NonTrigV1Categories"   "SSB"     
edm::ValueMap<int>                    "heepIDVarValueMaps"        "eleNrSaturateIn5x5"   "SSB"     
edm::ValueMap<pat::JetCorrFactors>    "patJetCorrFactorsReapplyJEC"   ""                "SSB"     
edm::ValueMap<pat::JetCorrFactors>    "patJetCorrFactorsReapplyJECMuClean"   ""                "SSB"     
edm::ValueMap<pat::JetCorrFactors>    "patJetCorrFactorsUpdatedJEC"   ""                "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1Bitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-looseBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-mediumBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tightBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-vetoBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-looseBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-mediumBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tightBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "heepElectronID-HEEPV70Bitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80Bitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90Bitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::ValueMap<unsigned int>           "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLooseBitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80Bitmap"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
edm::ValueMap<unsigned int>           "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90Bitmap"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
edm::ValueMap<vid::CutFlowResult>     "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
reco::JetFlavourInfoMatchingCollection   "genJetFlavourInfos"        ""                "SSB"     
string                                "egmGsfElectronIDs"         "cutBasedElectronHLTPreselection-Summer16-V1"   "SSB"     
string                                "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-loose"   "SSB"     
string                                "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-medium"   "SSB"     
string                                "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-tight"   "SSB"     
string                                "egmGsfElectronIDs"         "cutBasedElectronID-Summer16-80X-V1-veto"   "SSB"     
string                                "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-loose"   "SSB"     
string                                "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-medium"   "SSB"     
string                                "egmPhotonIDs"              "cutBasedPhotonID-Spring16-V2p2-tight"   "SSB"     
string                                "egmGsfElectronIDs"         "heepElectronID-HEEPV70"   "SSB"     
string                                "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp80"   "SSB"     
string                                "egmGsfElectronIDs"         "mvaEleID-Spring16-GeneralPurpose-V1-wp90"   "SSB"     
string                                "egmGsfElectronIDs"         "mvaEleID-Spring16-HZZ-V1-wpLoose"   "SSB"     
string                                "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp80"   "SSB"     
string                                "egmPhotonIDs"              "mvaPhoID-Spring16-nonTrig-V1-wp90"   "SSB"     
vector<CaloTower>                     "jetSelectorForMet"         "caloTowers"      "SSB"     
vector<CaloTower>                     "jetSelectorForMetMuClean"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT1T2Corr"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT1T2CorrMuClean"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT1T2SmearCorr"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT1T2SmearCorrMuClean"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT2Corr"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT2CorrMuClean"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT2SmearCorr"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedPatJetsForMetT2SmearCorrMuClean"   "caloTowers"      "SSB"     
vector<CaloTower>                     "selectedUpdatedPatJetsUpdatedJEC"   "caloTowers"      "SSB"     
vector<double>                        "ak4GenJetsCustom"          "rhos"            "SSB"     
vector<double>                        "ak4GenJetsCustom"          "sigmas"          "SSB"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrs"          ""                "SSB"     
vector<edm::FwdPtr<reco::PFCandidate> >    "particleFlowPtrsMuClean"   ""                "SSB"     
vector<edm::FwdPtr<reco::PFCandidate> >    "pfCandsNotInJetsPtrForMetCorr"   ""                "SSB"     
vector<edm::FwdPtr<reco::PFCandidate> >    "pfCandsNotInJetsPtrForMetCorrMuClean"   ""                "SSB"     
vector<edm::FwdPtr<reco::PFCandidate> >    "pfNoJet"                   ""                "SSB"     
vector<edm::FwdPtr<reco::PFJet> >     "pfJetsPtrForMetCorr"       ""                "SSB"     
vector<edm::FwdPtr<reco::PFJet> >     "pfJetsPtrForMetCorrMuClean"   ""                "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadBHadronId"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadFlavour"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadFromTopWeakDecay"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadIndex"    "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadJetIndex"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadLeptonHadronIndex"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadLeptonIndex"   "SSB"     
vector<int>                           "matchGenBHadron"           "genBHadLeptonViaTau"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadBHadronId"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadFlavour"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadFromTopWeakDecay"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadIndex"    "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadJetIndex"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadLeptonHadronIndex"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadLeptonIndex"   "SSB"     
vector<int>                           "matchGenCHadron"           "genCHadLeptonViaTau"   "SSB"     
vector<pat::Electron>                 "calibratedPatElectrons"    ""                "SSB"     
vector<pat::Electron>                 "modifiedElectrons"         ""                "SSB"     
vector<pat::Electron>                 "slimmedElectrons"          ""                "SSB"     
vector<pat::Jet>                      "basicJetsForMet"           ""                "SSB"     
vector<pat::Jet>                      "basicJetsForMetMuClean"    ""                "SSB"     
vector<pat::Jet>                      "cleanedPatJets"            ""                "SSB"     
vector<pat::Jet>                      "cleanedPatJetsMuClean"     ""                "SSB"     
vector<pat::Jet>                      "jetSelectorForMet"         ""                "SSB"     
vector<pat::Jet>                      "jetSelectorForMetMuClean"   ""                "SSB"     
vector<pat::Jet>                      "patJetsReapplyJEC"         ""                "SSB"     
vector<pat::Jet>                      "patJetsReapplyJECMuClean"   ""                "SSB"     
vector<pat::Jet>                      "patSmearedJets"            ""                "SSB"     
vector<pat::Jet>                      "patSmearedJetsMuClean"     ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT1T2Corr"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT1T2CorrMuClean"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT1T2SmearCorr"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT1T2SmearCorrMuClean"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT2Corr"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT2CorrMuClean"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT2SmearCorr"   ""                "SSB"     
vector<pat::Jet>                      "selectedPatJetsForMetT2SmearCorrMuClean"   ""                "SSB"     
vector<pat::Jet>                      "selectedUpdatedPatJetsUpdatedJEC"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetEnDown"       ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetEnDownMuClean"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetEnUp"         ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetEnUpMuClean"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetResDown"      ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetResDownMuClean"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetResUp"        ""                "SSB"     
vector<pat::Jet>                      "shiftedPatJetResUpMuClean"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatSmearedJetResDown"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatSmearedJetResDownMuClean"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatSmearedJetResUp"   ""                "SSB"     
vector<pat::Jet>                      "shiftedPatSmearedJetResUpMuClean"   ""                "SSB"     
vector<pat::Jet>                      "updatedPatJetsUpdatedJEC"   ""                "SSB"     
vector<pat::MET>                      "patCaloMet"                ""                "SSB"     
vector<pat::MET>                      "patMETs"                   ""                "SSB"     
vector<pat::MET>                      "patPFMet"                  ""                "SSB"     
vector<pat::MET>                      "patPFMetMuClean"           ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1"            ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1MuClean"     ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1Smear"       ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1T2"          ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1T2MuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1T2Smear"     ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1T2Txy"       ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1T2TxySmear"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1Txy"         ""                "SSB"     
vector<pat::MET>                      "patPFMetT0pcT1TxySmear"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1"                ""                "SSB"     
vector<pat::MET>                      "patPFMetT1ElectronEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1ElectronEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1ElectronEnUp"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1ElectronEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetEnDown"       ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetEnUp"         ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetResDown"      ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetResDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetResUp"        ""                "SSB"     
vector<pat::MET>                      "patPFMetT1JetResUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1MuClean"         ""                "SSB"     
vector<pat::MET>                      "patPFMetT1MuonEnDown"      ""                "SSB"     
vector<pat::MET>                      "patPFMetT1MuonEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1MuonEnUp"        ""                "SSB"     
vector<pat::MET>                      "patPFMetT1MuonEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1PhotonEnDown"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1PhotonEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1PhotonEnUp"      ""                "SSB"     
vector<pat::MET>                      "patPFMetT1PhotonEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1Smear"           ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearElectronEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearElectronEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearElectronEnUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearElectronEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetEnUp"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetResDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetResDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetResUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearJetResUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearMuClean"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearMuonEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearMuonEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearMuonEnUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearMuonEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearPhotonEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearPhotonEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearPhotonEnUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearPhotonEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearTauEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearTauEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearTauEnUp"    ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearTauEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearUnclusteredEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearUnclusteredEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearUnclusteredEnUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1SmearUnclusteredEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1T2"              ""                "SSB"     
vector<pat::MET>                      "patPFMetT1T2MuClean"       ""                "SSB"     
vector<pat::MET>                      "patPFMetT1T2Smear"         ""                "SSB"     
vector<pat::MET>                      "patPFMetT1T2Txy"           ""                "SSB"     
vector<pat::MET>                      "patPFMetT1T2TxySmear"      ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TauEnDown"       ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TauEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TauEnUp"         ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TauEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1Txy"             ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TxyMuClean"      ""                "SSB"     
vector<pat::MET>                      "patPFMetT1TxySmear"        ""                "SSB"     
vector<pat::MET>                      "patPFMetT1UnclusteredEnDown"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1UnclusteredEnDownMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1UnclusteredEnUp"   ""                "SSB"     
vector<pat::MET>                      "patPFMetT1UnclusteredEnUpMuClean"   ""                "SSB"     
vector<pat::MET>                      "patPFMetTxy"               ""                "SSB"     
vector<pat::MET>                      "patPFMetTxyMuClean"        ""                "SSB"     
vector<pat::MET>                      "slimmedMETs"               ""                "SSB"     
vector<pat::MET>                      "slimmedMETsMuClean"        ""                "SSB"     
vector<pat::Photon>                   "calibratedPatPhotons"      ""                "SSB"     
vector<pat::Photon>                   "modifiedPhotons"           ""                "SSB"     
vector<pat::Photon>                   "slimmedPhotons"            ""                "SSB"     
vector<reco::CaloMET>                 "caloMetT1"                 ""                "SSB"     
vector<reco::CaloMET>                 "caloMetT1MuClean"          ""                "SSB"     
vector<reco::CaloMET>                 "caloMetT1T2"               ""                "SSB"     
vector<reco::CaloMET>                 "caloMetT1T2MuClean"        ""                "SSB"     
vector<reco::GenJet>                  "ak4GenJetsCustom"          ""                "SSB"     
vector<reco::GenJet>                  "jetSelectorForMet"         "genJets"         "SSB"     
vector<reco::GenJet>                  "jetSelectorForMetMuClean"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT1T2Corr"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT1T2CorrMuClean"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT1T2SmearCorr"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT1T2SmearCorrMuClean"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT2Corr"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT2CorrMuClean"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT2SmearCorr"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedPatJetsForMetT2SmearCorrMuClean"   "genJets"         "SSB"     
vector<reco::GenJet>                  "selectedUpdatedPatJetsUpdatedJEC"   "genJets"         "SSB"     
vector<reco::GenMET>                  "genMetExtractor"           ""                "SSB"     
